inventory_id,product_id,warehouse_id,grn_id,grn_date,quantity_on_hand,unit_cost,batch_status,inventory_value,age_days,age_bucket,inventory_status
INV000250,P0130,WH002,GRN000393,2026-07-15,244,10276.93,Sellable,2507570.92,34,31-60,Healthy
INV000251,P0131,WH002,GRN001221,2025-10-09,1336,253.71,Sellable,338956.56,313,181-365,Non Moving
INV000252,P0132,WH008,GRN001707,2026-07-18,610,12517.91,Sellable,7635925.1,31,31-60,Healthy
INV000253,P0132,WH007,GRN001961,2026-08-12,317,12282.75,Sellable,3893631.75,6,0-30,Healthy
INV000254,P0132,WH004,GRN002486,2026-08-18,313,11641.94,Sellable,3643927.22,0,0-30,Healthy
INV000255,P0133,WH001,GRN001269,2026-01-16,684,9020.58,Damaged,6170076.72,214,181-365,Non Moving
INV000256,P0134,WH002,GRN000672,2026-05-03,720,3054.33,Sellable,2199117.6,107,91-180,Slow Moving
INV000257,P0134,WH006,GRN000939,2025-08-27,384,3174.93,Sellable,1219173.12,356,181-365,Non Moving
INV000258,P0134,WH004,GRN001465,2026-06-15,390,3103.73,Sellable,1210454.7,64,61-90,Slow Moving
INV000259,P0135,WH002,GRN001692,2026-08-02,189,11951.07,Sellable,2258752.23,16,0-30,Healthy
INV000260,P0136,WH007,GRN000230,2026-06-22,190,8155.87,Sellable,1549615.3,57,31-60,Healthy
INV000261,P0136,WH008,GRN000622,2026-08-17,372,7993.07,Sellable,2973422.04,1,0-30,Healthy
INV000262,P0137,WH004,GRN000852,2026-07-18,239,336.75,Sellable,80483.25,31,31-60,Healthy
INV000263,P0137,WH006,GRN000228,2026-07-30,241,343.06,Sellable,82677.46,19,0-30,Healthy
INV000264,P0138,WH005,GRN001015,2026-08-03,205,10421.48,Sellable,2136403.4,15,0-30,Healthy
INV000265,P0138,WH007,GRN000938,2025-08-27,1439,10437.31,Sellable,15019289.09,356,181-365,Non Moving
INV000266,P0139,WH007,GRN001700,2026-07-29,433,11437.8,Sellable,4952567.4,20,0-30,Healthy
INV000267,P0139,WH005,GRN001824,2026-07-02,206,12170.97,Sellable,2507219.82,47,31-60,Healthy
INV000268,P0140,WH003,GRN001313,2026-07-20,497,6949.27,Sellable,3453787.19,29,0-30,Healthy
INV000269,P0140,WH005,GRN001998,2026-07-08,669,7365.41,Sellable,4927459.29,41,31-60,Healthy
INV000270,P0141,WH005,GRN000909,2026-06-27,470,2563.45,Sellable,1204821.5,52,31-60,Healthy
INV000271,P0141,WH002,GRN001614,2026-07-12,401,2577.34,Sellable,1033513.34,37,31-60,Healthy
INV000272,P0142,WH005,GRN002206,2026-05-21,419,7135.68,Sellable,2989849.92,89,61-90,Slow Moving
INV000273,P0143,WH003,GRN000752,2026-07-26,175,10900.93,Damaged,1907662.75,23,0-30,Healthy
INV000274,P0143,WH007,GRN002489,2026-07-09,576,10540.5,Sellable,6071328.0,40,31-60,Healthy
INV000275,P0144,WH005,GRN002311,2026-03-06,566,9752.95,Sellable,5520169.7,165,91-180,Slow Moving
INV000276,P0144,WH003,GRN002336,2026-07-27,70,9415.02,Sellable,659051.4,22,0-30,Healthy
INV000277,P0144,WH007,GRN002376,2026-03-18,1099,9559.14,Sellable,10505494.86,153,91-180,Slow Moving
INV000278,P0145,WH008,GRN001795,2026-06-16,184,8784.07,Sellable,1616268.88,63,61-90,Slow Moving
INV000279,P0145,WH006,GRN002397,2026-06-27,313,8789.33,Sellable,2751060.29,52,31-60,Healthy
INV000280,P0146,WH002,GRN000932,2026-07-17,551,10195.1,Sellable,5617500.1,32,31-60,Healthy
INV000281,P0146,WH001,GRN002484,2026-07-26,540,10321.61,Sellable,5573669.4,23,0-30,Healthy
INV000282,P0146,WH007,GRN002399,2026-08-06,88,10065.65,Sellable,885777.2,12,0-30,Healthy
INV000283,P0147,WH001,GRN001873,2026-08-07,176,644.39,Sellable,113412.64,11,0-30,Healthy
INV000284,P0147,WH003,GRN001739,2026-08-16,23,609.54,Sellable,14019.42,2,0-30,Healthy
INV000285,P0147,WH008,GRN000347,2025-12-30,798,628.98,Sellable,501926.04,231,181-365,Non Moving
INV000286,P0148,WH005,GRN000747,2026-08-11,441,2544.22,Sellable,1122001.02,7,0-30,Healthy
INV000287,P0148,WH002,GRN002241,2026-08-14,313,2663.19,Sellable,833578.47,4,0-30,Healthy
INV000288,P0148,WH003,GRN001563,2026-08-06,77,2699.04,Sellable,207826.08,12,0-30,Healthy
INV000289,P0149,WH008,GRN001165,2026-05-19,860,1660.43,Sellable,1427969.8,91,91-180,Slow Moving
INV000290,P0149,WH004,GRN001468,2026-08-15,204,1603.65,Sellable,327144.6,3,0-30,Healthy
INV000291,P0149,WH007,GRN001700,2026-02-16,411,1642.37,Sellable,675014.07,183,181-365,Non Moving
INV000292,P0150,WH005,GRN001120,2026-07-30,354,8698.57,Sellable,3079293.78,19,0-30,Healthy
